T_id,Sig,Unit
5588,C_unit,南京审计大学
672,C_unit,南京工业大学
43509,C_unit,南京工程学院
183,C_unit,南京师范大学
166,C_unit,南京林业大学
21015,F_unit,南京水利科学研究院
354,C_unit,南京理工大学
24956,S_unit,南京电子技术研究所
61,C_unit,南京航空航天大学
717,C_unit,南京财经大学
64,C_unit,南京邮电大学
41086,F_unit,南加州大学
103,C_unit,南华大学
51580,C_unit,南宁师范大学
462,C_unit,南开大学
9509,C_unit,南方医科大学
49946,C_unit,南方科技大学
72,C_unit,南昌大学
41481,C_unit,南昌工程学院
4179,C_unit,南昌航空大学
48304,C_unit,南洋理工大学
1459,C_unit,南通大学
8510,C_unit,南阳师范学院
83243,S_unit,卡内基梅隆大学
23026,C_unit,厦门国家会计学院
171,C_unit,厦门大学
66889,C_unit,厦门理工学院
76038,S_unit,台湾交通大学
53291,S_unit,台湾大学
4175,C_unit,台湾成功大学
170,C_unit,合肥工业大学
79608,C_unit,合肥师范学院
8493,C_unit,吉林农业大学
121,C_unit,吉林大学
9808,C_unit,吉林师范大学
713,C_unit,吉林建筑大学
14394,C_unit,吉林财经大学
17648,C_unit,吉首大学
101,C_unit,同济大学
8474,C_unit,哈尔滨医科大学
5279,C_unit,哈尔滨商业大学
42,C_unit,哈尔滨工业大学
55995,C_unit,哈尔滨工业大学(威海校区)
1671,C_unit,哈尔滨工业大学(深圳)
1619,C_unit,哈尔滨工程大学
2938,C_unit,哈尔滨师范大学
41,C_unit,哈尔滨理工大学
35963,C_unit,哈尔滨船舶锅炉涡轮机研究所
